grid_id,LST_mean,LST_stdDev,LST_min,LST_max,LST_median
7693,304.092,0.539999999997068,304.02,305.1,304.02
7696,,,,,
7698,299.8,0.0,299.8,299.8,299.8
7700,302.34000000000003,0.0,302.34000000000003,302.34000000000003,302.34000000000003
7701,306.61096774193544,0.6050000000205122,305.44,306.65,306.65
7702,307.62666666666667,0.42499999999246724,307.06,307.90999999999997,307.90999999999997
7703,,,,,
7708,303.3,0.0,303.3,303.3,303.3
7709,306.85433333333333,1.3390626904239018,305.59000000000003,308.87,307.24
7710,309.6744827586207,0.3125522179052996,309.58,310.32,309.58
7712,300.29600000000005,0.2549999999783604,300.16,300.67,300.16
7719,299.99,0.0,299.99,299.99,299.99
7722,301.683870967742,0.1999999999839929,301.40000000000003,301.8,301.8
7725,302.81,0.0,302.81,302.81,302.81
7726,306.4909677419355,0.8799999999970367,305.98,307.74,305.98
7729,302.5,0.0,302.5,302.5,302.5
7730,302.985,0.4150000000024966,302.57000000000005,303.4,302.985
7732,306.6,0.0,306.6,306.6,306.6
7733,300.12,0.0,300.12,300.12,300.12
7734,302.66,0.0,302.66,302.66,302.66
7735,,,,,
7737,307.28741935483873,1.274999999988815,305.56,308.11,308.11
7740,302.5,0.0,302.5,302.5,302.5
7742,305.58,0.0,305.58,305.58,305.58
7743,306.78482758620686,1.3149999999955204,306.15,308.78000000000003,306.15
7744,304.4816129032258,0.45999999999466007,303.71000000000004,304.63,304.63
7745,312.03,0.0,312.03,312.03,312.03
7749,304.70000000000005,0.9399290753459862,303.38,305.68,304.44
7750,302.36,0.0,302.36,302.36,302.36
7755,303.70785714285716,1.551286204707695,302.3,305.98,303.32
7756,303.5322727272727,0.044999999936877026,303.52,303.61,303.52
7759,306.8223076923077,1.0974009699551373,304.58,307.14,307.14
7761,307.99,0.0,307.99,307.99,307.99
7763,302.94,0.0,302.94,302.94,302.94
7765,300.884,0.36000000000029103,300.62,301.34000000000003,300.62
7769,,,,,
7770,308.20000000000005,0.0,308.20000000000005,308.20000000000005,308.20000000000005
7771,301.38,0.0,301.38,301.38,301.38
7775,301.5506666666667,0.020000000474974508,301.52,301.56,301.56
7778,305.30551724137933,1.7099999999926065,304.48,307.90000000000003,304.48
7779,305.981,1.185000000002397,303.69000000000005,306.06,306.06
7781,306.13,0.0,306.13,306.13,306.13
7782,302.72,0.0,302.72,302.72,302.72
7785,302.2310344827587,0.10999999996655706,302.14,302.36,302.14
